[11:22:38] [INFO] received Windows console close event; shutting log-core down
[11:29:54] [INFO] received Windows console close event; shutting log-core down
[11:30:15] [INFO] received Windows console close event; shutting log-core down
[11:52:04] [INFO] received Windows console close event; shutting log-core down
[11:57:51] [INFO] received Windows console close event; shutting log-core down
[11:59:22] [INFO] received Windows console close event; shutting log-core down
[12:00:41] [INFO] received Windows console close event; shutting log-core down
[12:46:14] [INFO] received Windows console close event; shutting log-core down
[15:41:33] [INFO] received Windows console close event; shutting log-core down
[15:59:58] [INFO] received Windows console close event; shutting log-core down
[16:00:30] [INFO] received Windows console close event; shutting log-core down
[16:05:59] [INFO] received Windows console close event; shutting log-core down
[16:09:10] [INFO] received Windows console close event; shutting log-core down
[16:10:36] [INFO] received Windows console close event; shutting log-core down
[16:14:33] [INFO] received Windows console close event; shutting log-core down
[18:11:51] [INFO] received Windows console close event; shutting log-core down
[18:23:21] [INFO] received Windows console close event; shutting log-core down
[18:50:19] [INFO] received Windows console close event; shutting log-core down
[12:47:46] [INFO] received Windows console close event; shutting log-core down
[14:45:15] [INFO] received Windows console close event; shutting log-core down
[14:41:15] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[15:21:35] [INFO] received Windows console close event; shutting log-core down
[15:30:15] [INFO] received Windows console close event; shutting log-core down
[15:43:42] [INFO] received Windows console close event; shutting log-core down
[15:44:52] [INFO] received Windows console close event; shutting log-core down
[15:46:26] [INFO] received Windows console close event; shutting log-core down
[15:50:10] [INFO] received Windows console close event; shutting log-core down
[16:28:43] [INFO] received Windows console close event; shutting log-core down
[11:43:05] [INFO] received Windows console close event; shutting log-core down
[11:56:15] [INFO] received Windows console close event; shutting log-core down
[12:00:27] [INFO] received Windows console close event; shutting log-core down
[12:04:10] [INFO] received Windows console close event; shutting log-core down
[12:05:34] [INFO] received Windows console close event; shutting log-core down
[12:13:18] [INFO] received Windows console close event; shutting log-core down
[16:35:40] [INFO] received Windows console close event; shutting log-core down
[16:35:53] [INFO] received Windows console close event; shutting log-core down
[18:27:27] [INFO] received Windows console close event; shutting log-core down
[21:15:07] [INFO] received Windows console close event; shutting log-core down
[23:04:51] [INFO] received Windows console close event; shutting log-core down
[23:39:03] [INFO] received Windows console close event; shutting log-core down
[23:43:30] [INFO] received Windows console close event; shutting log-core down
[23:44:14] [INFO] received Windows console close event; shutting log-core down
[23:46:20] [INFO] received Windows console close event; shutting log-core down
[23:54:16] [INFO] received Windows console close event; shutting log-core down
[23:55:13] [INFO] received Windows console close event; shutting log-core down
[23:58:10] [INFO] received Windows console close event; shutting log-core down
[00:02:23] [INFO] received Windows console close event; shutting log-core down
[00:06:58] [INFO] received Windows console close event; shutting log-core down
[11:48:18] [INFO] received Windows console close event; shutting log-core down
[12:12:53] [INFO] received Windows console close event; shutting log-core down
[12:40:20] [INFO] received Windows console close event; shutting log-core down
[12:43:21] [INFO] received Windows console close event; shutting log-core down
[12:49:31] [INFO] received Windows console close event; shutting log-core down
[12:55:34] [INFO] received Windows console close event; shutting log-core down
[13:01:22] [INFO] received Windows console close event; shutting log-core down
[13:57:34] [INFO] received Windows console close event; shutting log-core down
[13:58:34] [INFO] received Windows console close event; shutting log-core down
[14:09:14] [INFO] received Windows console close event; shutting log-core down
[14:15:22] [INFO] received Windows console close event; shutting log-core down
[14:16:14] [INFO] received Windows console close event; shutting log-core down
[14:20:02] [INFO] received Windows console close event; shutting log-core down
[14:21:33] [INFO] received Windows console close event; shutting log-core down
[14:21:41] [INFO] received Windows console close event; shutting log-core down
[14:28:30] [INFO] received Windows console close event; shutting log-core down
[14:29:22] [INFO] received Windows console close event; shutting log-core down
[14:30:42] [INFO] received Windows console close event; shutting log-core down
[14:34:55] [INFO] received Windows console close event; shutting log-core down
[14:35:32] [INFO] received Windows console close event; shutting log-core down
[14:37:35] [INFO] received Windows console close event; shutting log-core down
[14:38:19] [INFO] received Windows console close event; shutting log-core down
[14:40:04] [INFO] received Windows console close event; shutting log-core down
[14:42:01] [INFO] received Windows console close event; shutting log-core down
[15:47:48] [INFO] received Windows console close event; shutting log-core down
[16:00:43] [INFO] received Windows console close event; shutting log-core down
[16:04:02] [INFO] received Windows console close event; shutting log-core down
[16:06:03] [INFO] received Windows console close event; shutting log-core down
[16:13:42] [INFO] received Windows console close event; shutting log-core down
[16:14:38] [INFO] received Windows console close event; shutting log-core down
[19:49:12] [INFO] received Windows console close event; shutting log-core down
[00:14:07] [INFO] received Windows console close event; shutting log-core down
[00:15:27] [INFO] received Windows console close event; shutting log-core down
[00:16:16] [INFO] received Windows console close event; shutting log-core down
[00:17:09] [INFO] received Windows console close event; shutting log-core down
[00:17:44] [INFO] received Windows console close event; shutting log-core down
[00:18:20] [INFO] received Windows console close event; shutting log-core down
[00:18:59] [INFO] received Windows console close event; shutting log-core down
[00:19:41] [INFO] received Windows console close event; shutting log-core down
[00:25:52] [INFO] received Windows console close event; shutting log-core down
[13:21:32] [INFO] received Windows console close event; shutting log-core down
[13:47:01] [INFO] received Windows console close event; shutting log-core down
[13:49:01] [INFO] received Windows console close event; shutting log-core down
[13:54:57] [INFO] received Windows console close event; shutting log-core down
[14:05:22] [INFO] received Windows console close event; shutting log-core down
[15:18:51] [INFO] received Windows console close event; shutting log-core down
[15:19:26] [INFO] received Windows console close event; shutting log-core down
[15:23:16] [INFO] received Windows console close event; shutting log-core down
[15:25:49] [INFO] received Windows console close event; shutting log-core down
[15:27:34] [INFO] received Windows console close event; shutting log-core down
[15:30:02] [INFO] received Windows console close event; shutting log-core down
[15:31:18] [INFO] received Windows console close event; shutting log-core down
[15:47:47] [INFO] received Windows console close event; shutting log-core down
[15:48:18] [INFO] received Windows console close event; shutting log-core down
[15:50:05] [INFO] received Windows console close event; shutting log-core down
[15:51:17] [INFO] received Windows console close event; shutting log-core down
[15:53:13] [INFO] received Windows console close event; shutting log-core down
[16:02:37] [INFO] received Windows console close event; shutting log-core down
[16:06:19] [INFO] received Windows console close event; shutting log-core down
[16:08:47] [INFO] received Windows console close event; shutting log-core down
[16:09:47] [INFO] received Windows console close event; shutting log-core down
[16:18:34] [INFO] received Windows console close event; shutting log-core down
